,BILL_MONTH,DIVISION,SUB_DIVISION,Billing for Jan 23,METER_STATUS,BILL_STATUS,REALIZATION_PAYMENT,TOTAL_CURRENT_BILL,TOTAL_CURRENT_BILL_AFTHLKADJ,TOTAL_BILLDED_ARREAR_AMT_DF,TOTAL_BILLDED_ARR_AMT_MEPDCL,tot_bill
33861,Jan-23,TURA,PHULBARI,134.14,OK,ACT,,135.94,135.94,3.81,0,
33862,Jan-23,TURA,PHULBARI,140.91,OK,ACT,,142.76,142.76,274.33,0,
33865,Jan-23,TURA,PHULBARI,117.62,OK,ACT,,119.17,119.17,409.61,0,
33866,Jan-23,TURA,PHULBARI,138.2,OK,ACT,,140.05,140.05,0,0,
33869,Jan-23,TURA,PHULBARI,138.54,OK,ACT,1000,140.24,140.24,1312.37,0,
33872,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
33873,Jan-23,TURA,PHULBARI,146.4,OK,ACT,,148.35,148.35,0,0,
33874,Jan-23,TURA,PHULBARI,150.01,OK,ACT,,151.76,151.76,2107.1,0,
33875,Jan-23,TURA,PHULBARI,214.66,OK,ACT,,216.61,216.61,2854.29,0,
33878,Jan-23,TURA,PHULBARI,146.4,OK,ACT,,148.35,148.35,0,0,
33879,Jan-23,TURA,PHULBARI,149.08,OK,ACT,,150.88,150.88,1568.46,0,
33880,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,2350.46,0,
33893,Jan-23,TURA,PHULBARI,43.8,OK,ACT,,44.4,44.4,0,0,
33896,Jan-23,TURA,PHULBARI,190.51,OK,ACT,,192.51,192.51,1.19,0,
33899,Jan-23,TURA,PHULBARI,44.41,OK,ACT,106,148.61,45.01,60.84,0,
33902,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
33903,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
33906,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
33910,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,4948,0,
33914,Jan-23,TURA,PHULBARI,321.92,OK,ACT,,325.42,325.42,863.94,0,
33916,Jan-23,TURA,PHULBARI,186.46,OK,ACT,,187.46,187.46,12743.71,0,
33918,Jan-23,TURA,PHULBARI,110.59,OK,ACT,,223.09,112.09,110.94,0,
33926,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
33932,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,763.27,0,
33934,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
33936,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
33937,Jan-23,TURA,PHULBARI,170,OK,ACT,,171.75,171.75,0,0,
33939,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
33944,Jan-23,TURA,PHULBARI,-14.16,OK,ACT,,30.04,-14.36,44.37,0,
33949,Jan-23,TURA,PHULBARI,115.62,OK,ACT,,116.62,116.62,266.06,0,
33951,Jan-23,TURA,PHULBARI,170,OK,ACT,170,171.75,171.75,0,0,
