,BILL_MONTH,DIVISION,SUB_DIVISION,Billing for Jan 23,METER_STATUS,BILL_STATUS,REALIZATION_PAYMENT,TOTAL_CURRENT_BILL,TOTAL_CURRENT_BILL_AFTHLKADJ,TOTAL_BILLDED_ARREAR_AMT_DF,TOTAL_BILLDED_ARR_AMT_MEPDCL,tot_bill
0,Jan-23,WEILOI,EAST KHASI HILL,489,OK,ACT,490,493.5,493.5,0,0,987
1,Jan-23,WEILOI,EAST KHASI HILL,274.76,OK,ACT,800,276.14,276.14,528.64,0,1080.92
2,Jan-23,WEILOI,EAST KHASI HILL,10.95,OK,ACT,10,11.1,11.1,0,0,22.2
3,Jan-23,WEILOI,EAST KHASI HILL,174.1,OK,ACT,,175.9,175.9,0.02,0,351.82
4,Jan-23,WEILOI,EAST KHASI HILL,139.26,OK,ACT,700,140.16,140.16,551.6,0,831.92
5,Jan-23,WEILOI,EAST KHASI HILL,0,OK,BACKEND,,,0,0,0,0
6,Jan-23,WEILOI,EAST KHASI HILL,44.22,OK,ACT,,44.72,44.72,771.9,0,861.34
7,Jan-23,WEILOI,EAST KHASI HILL,69.2,OK,ACT,70,69.6,69.6,0,0,139.2
8,Jan-23,WEILOI,EAST KHASI HILL,805.4,OK,ACT,810,810.1,810.1,0,0,1620.2
9,Jan-23,WEILOI,EAST KHASI HILL,0,OK,BACKEND,,,0,0,0,0
11,Jan-23,WEILOI,EAST KHASI HILL,25.55,OK,ACT,25,25.9,25.9,0,0,51.8
12,Jan-23,WEILOI,EAST KHASI HILL,290.61,OK,ACT,810,291.03,291.03,510.88,0,1092.94
13,Jan-23,WEILOI,EAST KHASI HILL,417,OK,ACT,,422.25,422.25,0,0,844.5
14,Jan-23,WEILOI,EAST KHASI HILL,183,OK,ACT,184,184.5,184.5,0,0,369
15,Jan-23,WEILOI,EAST KHASI HILL,124.79,OK,ACT,,125.94,125.94,83.8,0,335.68
16,Jan-23,WEILOI,EAST KHASI HILL,233.6,OK,ACT,,236.8,236.8,0,0,473.6
17,Jan-23,WEILOI,EAST KHASI HILL,375.7,OK,ACT,,379.55,379.55,0,0,759.1
18,Jan-23,WEILOI,EAST KHASI HILL,999.5,OK,ACT,1003,1002.08,1002.08,0,0,2004.16
20,Jan-23,WEILOI,EAST KHASI HILL,111.46,OK,ACT,,112.41,112.41,213.63,0,438.45
21,Jan-23,WEILOI,EAST KHASI HILL,188.45,OK,ACT,,191,191,233.1,0,615.1
24,Jan-23,WEILOI,EAST KHASI HILL,424.2,OK,ACT,429,429.05,429.05,0,0,858.1
26,Jan-23,WEILOI,EAST KHASI HILL,297.8,OK,ACT,,300.7,300.7,0,0,601.4
27,Jan-23,WEILOI,EAST KHASI HILL,509.47,OK,ACT,700,515.22,515.22,1162.66,0,2193.1
28,Jan-23,WEILOI,EAST KHASI HILL,79.06,OK,ACT,,79.46,79.46,999.84,0,1158.76
30,Jan-23,WEILOI,EAST KHASI HILL,252.7,OK,ACT,255,255.05,255.05,0,0,510.1
32,Jan-23,WEILOI,EAST KHASI HILL,115.68,OK,ACT,389,116.68,116.68,271.35,0,504.71
33,Jan-23,WEILOI,EAST KHASI HILL,138.7,OK,ACT,,140.6,140.6,0,0,281.2
34,Jan-23,WEILOI,EAST KHASI HILL,190.5,OK,ACT,192,192.5,192.5,0,0,385
35,Jan-23,WEILOI,EAST KHASI HILL,246.5,OK,ACT,247,246.56,246.56,0,0,493.12
36,Jan-23,WEILOI,EAST KHASI HILL,426.97,OK,ACT,519,431.52,431.52,87.12,0,950.16
37,Jan-23,WEILOI,EAST KHASI HILL,161.8,OK,ACT,,163.45,163.45,0,0,326.9
38,Jan-23,WEILOI,EAST KHASI HILL,0,OK,BACKEND,,,0,0,0,0
39,Jan-23,WEILOI,EAST KHASI HILL,43.65,OK,ACT,44,43.7,43.7,0,0,87.4
40,Jan-23,WEILOI,EAST KHASI HILL,43.65,OK,ACT,44,43.7,43.7,0,0,87.4
41,Jan-23,WEILOI,EAST KHASI HILL,0,OK,BACKEND,,,0,0,0,0
42,Jan-23,WEILOI,EAST KHASI HILL,188.47,OK,ACT,180,189.77,189.77,1357.25,0,1736.79
44,Jan-23,WILLIAM NAGAR,NONGALBIBRA,182,OK,ACT,180,183,183,0,0,366
50,Jan-23,WILLIAM NAGAR,NONGALBIBRA,303.01,OK,ACT,,303.01,303.01,565.3,24765.71,25634.02
54,Jan-23,WILLIAM NAGAR,NONGALBIBRA,424.34,OK,ACT,,426.44,426.44,2008.97,16663.2,19098.61
61,Jan-23,WILLIAM NAGAR,NONGALBIBRA,100,OK,ACT,,100,100,1939.82,-2380,-340.18
62,Jan-23,WILLIAM NAGAR,NONGALBIBRA,100,OK,ACT,100,100,100,1536.91,-1540,96.91
63,Jan-23,WILLIAM NAGAR,NONGALBIBRA,0,OK,BACKEND,,,0,19880.31,15567.74,
64,Jan-23,WILLIAM NAGAR,NONGALBIBRA,1751.58,OK,ACT,,1766.58,1766.58,3601.03,16773.98,22141.59
67,Jan-23,WILLIAM NAGAR,NONGALBIBRA,1310.43,OK,ACT,,1320.38,1320.38,25051.11,19277.25,45648.74
70,Jan-23,WILLIAM NAGAR,NONGALBIBRA,1911.79,OK,ACT,,1927.34,1927.34,14928.31,18089.54,34945.19
72,Jan-23,WILLIAM NAGAR,NONGALBIBRA,182,OK,ACT,183,183,183,724.8,-724.97,182.83
73,Jan-23,WILLIAM NAGAR,NONGALBIBRA,161.5,OK,ACT,200,162.25,162.25,178.56,-213.39,127.42
83,Jan-23,WILLIAM NAGAR,NONGALBIBRA,255.8,OK,ACT,260,257.7,257.7,-0.41,0,
86,Jan-23,WILLIAM NAGAR,NONGALBIBRA,1625,OK,ACT,,1637.6,1637.6,0,0,
87,Jan-23,WILLIAM NAGAR,NONGALBIBRA,924.75,OK,ACT,1920,931.59,931.59,982.12,0,
89,Jan-23,WILLIAM NAGAR,NONGALBIBRA,270.94,OK,ACT,,271.24,271.24,865.31,7268.43,8404.98
90,Jan-23,WILLIAM NAGAR,NONGALBIBRA,1282.5,OK,ACT,,1292.28,1292.28,0,0,
91,Jan-23,WILLIAM NAGAR,NONGALBIBRA,767.5,OK,ACT,,771.58,771.58,550.37,0,
92,Jan-23,WILLIAM NAGAR,NONGALBIBRA,371.93,OK,ACT,770,373.85,373.85,392.63,0,
93,Jan-23,WILLIAM NAGAR,NONGALBIBRA,1717.5,OK,ACT,,1730.76,1730.76,0,0,
94,Jan-23,WILLIAM NAGAR,NONGALBIBRA,186.69,OK,ACT,,187.69,187.69,413.56,69.9,671.15
98,Jan-23,WILLIAM NAGAR,NONGALBIBRA,2331.6,OK,ACT,,2349.6,2349.6,2176.46,0,
99,Jan-23,WILLIAM NAGAR,NONGALBIBRA,530.5,OK,ACT,535,533.92,533.92,0.33,0,
100,Jan-23,WILLIAM NAGAR,NONGALBIBRA,400.5,OK,ACT,403,402.72,402.72,0,0,
102,Jan-23,WILLIAM NAGAR,NONGALBIBRA,550,OK,ACT,,553.6,553.6,0,0,
103,Jan-23,WILLIAM NAGAR,NONGALBIBRA,511,OK,ACT,514,514.24,514.24,0,0,
104,Jan-23,WILLIAM NAGAR,NONGALBIBRA,693.83,OK,ACT,1000,698.69,698.69,732.75,0,
105,Jan-23,WILLIAM NAGAR,NONGALBIBRA,0,OK,BACKEND,,,0,12216.73,0,
107,Jan-23,WILLIAM NAGAR,NONGALBIBRA,994.01,OK,ACT,,1001.21,1001.21,3432.4,0,
108,Jan-23,WILLIAM NAGAR,NONGALBIBRA,730.77,OK,ACT,,734.61,734.61,4882.26,11259.82,16876.69
113,Jan-23,WILLIAM NAGAR,NONGALBIBRA,1189,OK,ACT,,1201.1,1201.1,0,0,
115,Jan-23,WILLIAM NAGAR,NONGALBIBRA,428.3,OK,ACT,,430.75,430.75,7995.85,6527.08,14953.68
118,Jan-23,WILLIAM NAGAR,NONGALBIBRA,0,OK,BACKEND,,,0,0,0,
120,Jan-23,WILLIAM NAGAR,NONGALBIBRA,663.3,OK,ACT,670,668.95,668.95,0,0,
130,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,55.5,0,
131,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
137,Jan-23,TURA,PHULBARI,106.78,OK,ACT,,197.03,108.23,94.78,0,
145,Jan-23,TURA,PHULBARI,102.53,OK,ACT,,103.88,103.88,403.38,0,
147,Jan-23,TURA,PHULBARI,120.12,OK,ACT,,121.72,121.72,246.62,0,
158,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
162,Jan-23,TURA,PHULBARI,199.73,OK,ACT,200,202.33,202.33,2.65,0,
169,Jan-23,TURA,PHULBARI,123.02,OK,ACT,,124.67,124.67,124.6,0,
189,Jan-23,WILLIAM NAGAR,NONGALBIBRA,0,OK,BACKEND,,,0,-2.85,0,
194,Jan-23,WILLIAM NAGAR,NONGALBIBRA,194.3,OK,ACT,196,195.45,195.45,0,0,
195,Jan-23,WILLIAM NAGAR,NONGALBIBRA,467.85,OK,ACT,200,472.45,472.45,64.95,0,
196,Jan-23,WILLIAM NAGAR,NONGALBIBRA,322.82,OK,ACT,1000,324.07,324.07,6319.67,7449.78,14093.52
199,Jan-23,WILLIAM NAGAR,NONGALBIBRA,176.61,OK,ACT,1000,177.46,177.46,647.94,0,
200,Jan-23,WILLIAM NAGAR,NONGALBIBRA,929.27,OK,ACT,,937.07,937.07,7336.4,2320.07,10593.54
202,Jan-23,WILLIAM NAGAR,NONGALBIBRA,413.11,OK,ACT,,415.01,415.01,12779.65,7479.4,20674.06
203,Jan-23,WILLIAM NAGAR,NONGALBIBRA,0,OK,BACKEND,,,0,6313.54,4944.03,
207,Jan-23,WILLIAM NAGAR,NONGALBIBRA,145.1,OK,ACT,130,145.65,145.65,-19.6,0,
216,Jan-23,WEILOI,EAST KHASI HILL,713.9,OK,ACT,719,718.2,718.2,0,0,
217,Jan-23,WEILOI,EAST KHASI HILL,219.26,OK,ACT,228,221.61,221.61,5.8,0,
218,Jan-23,WEILOI,EAST KHASI HILL,54.6,OK,ACT,55,54.8,54.8,0,0,
219,Jan-23,WEILOI,EAST KHASI HILL,55.47,OK,ACT,,55.67,55.67,87,0,
220,Jan-23,WEILOI,EAST KHASI HILL,14.78,OK,ACT,,14.98,14.98,17.72,0,
221,Jan-23,WEILOI,EAST KHASI HILL,109.5,OK,ACT,110,111,111,0,0,
222,Jan-23,WEILOI,EAST KHASI HILL,43.65,OK,ACT,44,43.7,43.7,0,0,
223,Jan-23,WEILOI,EAST KHASI HILL,664.13,OK,ACT,,671.78,671.78,112.5,0,
224,Jan-23,WEILOI,EAST KHASI HILL,25.55,OK,ACT,30,25.9,25.9,0,0,
225,Jan-23,WEILOI,EAST KHASI HILL,172.31,OK,ACT,,173.81,173.81,2363.82,0,
226,Jan-23,WEILOI,EAST KHASI HILL,68.05,OK,ACT,,68.65,68.65,2534.91,0,
227,Jan-23,WEILOI,EAST KHASI HILL,139.82,OK,ACT,,140.87,140.87,2399.88,0,
228,Jan-23,WEILOI,EAST KHASI HILL,540.86,OK,ACT,,547.76,547.76,208.73,0,
229,Jan-23,WEILOI,EAST KHASI HILL,143.22,OK,ACT,230,145.17,145.17,88.5,0,
230,Jan-23,WEILOI,EAST KHASI HILL,40,OK,ACT,40,40,40,0,0,
231,Jan-23,WEILOI,EAST KHASI HILL,47.3,OK,ACT,47,47.4,47.4,0,0,
232,Jan-23,WEILOI,EAST KHASI HILL,80.3,OK,ACT,80,81.4,81.4,0,0,
234,Jan-23,WEILOI,EAST KHASI HILL,47.45,OK,ACT,44,48.1,48.1,0,0,
235,Jan-23,WEILOI,EAST KHASI HILL,208.14,OK,ACT,,210.34,210.34,123.77,0,
236,Jan-23,WEILOI,EAST KHASI HILL,134.25,OK,ACT,,135.15,135.15,2967.13,0,
237,Jan-23,WEILOI,EAST KHASI HILL,7.3,OK,ACT,,7.4,7.4,0,0,
238,Jan-23,WEILOI,EAST KHASI HILL,227.17,OK,ACT,,229.32,229.32,2526.34,0,
239,Jan-23,WEILOI,EAST KHASI HILL,65.55,OK,ACT,69,65.9,65.9,0,0,
240,Jan-23,WEILOI,EAST KHASI HILL,476.36,OK,ACT,,481.51,481.51,2857.09,0,
241,Jan-23,WEILOI,EAST KHASI HILL,63.79,OK,ACT,2000,63.79,63.79,2460.39,0,
242,Jan-23,WEILOI,EAST KHASI HILL,40.34,OK,ACT,60,40.89,40.89,19.42,0,
243,Jan-23,WEILOI,EAST KHASI HILL,91.76,OK,ACT,,92.46,92.46,66.34,0,
244,Jan-23,WEILOI,EAST KHASI HILL,98.55,OK,ACT,100,99.9,99.9,0,0,
245,Jan-23,WEILOI,EAST KHASI HILL,0,OK,BACKEND,,,0,347.8,0,
246,Jan-23,WEILOI,EAST KHASI HILL,53.03,OK,ACT,650,53.13,53.13,593.35,0,
247,Jan-23,WEILOI,EAST KHASI HILL,509.05,OK,ACT,,514.6,514.6,2846.18,0,
248,Jan-23,WEILOI,EAST KHASI HILL,98.3,OK,ACT,,99,99,719.56,0,
249,Jan-23,WEILOI,EAST KHASI HILL,65.88,OK,ACT,,65.88,65.88,2688.26,0,
250,Jan-23,WEILOI,EAST KHASI HILL,337.91,OK,ACT,,341.41,341.41,2532.31,0,
251,Jan-23,WEILOI,EAST KHASI HILL,147.17,OK,ACT,,148.32,148.32,2408.66,0,
252,Jan-23,WEILOI,EAST KHASI HILL,151.81,OK,ACT,,153.06,153.06,2134.11,0,
253,Jan-23,WEILOI,EAST KHASI HILL,62.05,OK,ACT,60,62.9,62.9,0,0,
254,Jan-23,WEILOI,EAST KHASI HILL,64.11,OK,ACT,,64.11,64.11,2507.54,0,
255,Jan-23,WEILOI,EAST KHASI HILL,112.67,OK,ACT,,113.27,113.27,2988.91,0,
256,Jan-23,WEILOI,EAST KHASI HILL,44.27,OK,ACT,,44.87,44.87,47.58,0,
257,Jan-23,WEILOI,EAST KHASI HILL,191.98,OK,ACT,,193.63,193.63,3132.88,0,
258,Jan-23,WEILOI,EAST KHASI HILL,144.36,OK,ACT,,145.41,145.41,2864.76,0,
308,Jan-23,WEILOI,EAST KHASI HILL,109.2,OK,ACT,,109.6,109.6,0,0,
309,Jan-23,WEILOI,EAST KHASI HILL,424.02,OK,ACT,,429.52,429.52,1.56,0,
310,Jan-23,WEILOI,EAST KHASI HILL,251.8,OK,ACT,256,255.2,255.2,0,0,
311,Jan-23,WEILOI,EAST KHASI HILL,79.69,OK,ACT,,80.14,80.14,702.62,0,
312,Jan-23,WEILOI,EAST KHASI HILL,99.83,OK,ACT,,99.83,99.83,2021.35,0,
313,Jan-23,WEILOI,EAST KHASI HILL,36.5,OK,ACT,40,37,37,0,0,
314,Jan-23,WEILOI,EAST KHASI HILL,121.57,OK,ACT,266,122.12,122.12,143.35,0,
315,Jan-23,WEILOI,EAST KHASI HILL,14.6,OK,ACT,14,14.8,14.8,0,0,
316,Jan-23,WEILOI,EAST KHASI HILL,118.79,OK,ACT,230,120.39,120.39,110.35,0,
317,Jan-23,WEILOI,EAST KHASI HILL,58.4,OK,ACT,57,59.2,59.2,0,0,
318,Jan-23,WEILOI,EAST KHASI HILL,518.31,OK,ACT,,524.96,524.96,0.71,0,
319,Jan-23,WEILOI,EAST KHASI HILL,21.9,OK,ACT,22,22.2,22.2,0,0,
321,Jan-23,WEILOI,EAST KHASI HILL,98.56,OK,ACT,101,99.91,99.91,0.61,0,
322,Jan-23,WEILOI,EAST KHASI HILL,132.85,OK,ACT,,134.1,134.1,161.98,0,
323,Jan-23,WEILOI,EAST KHASI HILL,50.95,OK,ACT,49,51.1,51.1,0,0,
324,Jan-23,WEILOI,EAST KHASI HILL,0,OK,ACT,,,0,-126.45,0,
325,Jan-23,WEILOI,EAST KHASI HILL,774.6,OK,ACT,783,783.4,783.4,0,0,
326,Jan-23,WEILOI,EAST KHASI HILL,297.8,OK,ACT,,300.85,300.85,2199.52,0,
327,Jan-23,WEILOI,EAST KHASI HILL,149.7,OK,ACT,,151.2,151.2,19.75,0,
328,Jan-23,WEILOI,EAST KHASI HILL,0,OK,BACKEND,,,0,0,0,
329,Jan-23,WEILOI,EAST KHASI HILL,156.9,OK,ACT,,157.35,157.35,0,0,
330,Jan-23,WEILOI,EAST KHASI HILL,0,OK,BACKEND,,,0,0,0,
331,Jan-23,WEILOI,EAST KHASI HILL,0,OK,BACKEND,,,0,0,0,
332,Jan-23,WEILOI,EAST KHASI HILL,311.3,OK,ACT,315,314.45,314.45,0,0,
333,Jan-23,WEILOI,EAST KHASI HILL,158.7,OK,ACT,,160.8,160.8,0,0,
334,Jan-23,WEILOI,EAST KHASI HILL,596.7,OK,ACT,,601.05,601.05,0,0,
335,Jan-23,WEILOI,EAST KHASI HILL,1146.1,OK,ACT,,1161.8,1161.8,0,0,
336,Jan-23,WEILOI,EAST KHASI HILL,656,OK,ACT,660,659.84,659.84,0,0,
337,Jan-23,WEILOI,EAST KHASI HILL,378.3,OK,ACT,382,381.45,381.45,0,0,
338,Jan-23,WEILOI,EAST KHASI HILL,538.2,OK,ACT,544,543.3,543.3,0,0,
339,Jan-23,WEILOI,EAST KHASI HILL,251.2,OK,ACT,250,252.8,252.8,0,0,
340,Jan-23,WEILOI,EAST KHASI HILL,43.8,OK,ACT,,44.4,44.4,0,0,
341,Jan-23,WEILOI,EAST KHASI HILL,379.6,OK,ACT,385,384.8,384.8,0,0,
342,Jan-23,WEILOI,EAST KHASI HILL,0,OK,BACKEND,,,0,0,0,
343,Jan-23,WEILOI,EAST KHASI HILL,0,OK,BACKEND,,,0,0,0,
344,Jan-23,WEILOI,EAST KHASI HILL,0,OK,BACKEND,,,0,0,0,
345,Jan-23,WEILOI,EAST KHASI HILL,945.2,OK,ACT,954,953.8,953.8,0,0,
346,Jan-23,WEILOI,EAST KHASI HILL,80.3,OK,ACT,82,81.4,81.4,0,0,
347,Jan-23,WEILOI,EAST KHASI HILL,148.7,OK,ACT,,149.05,149.05,0,0,
348,Jan-23,WEILOI,EAST KHASI HILL,0,OK,BACKEND,,,0,0,0,
349,Jan-23,WEILOI,EAST KHASI HILL,18.25,OK,ACT,,18.5,18.5,0,0,
350,Jan-23,WEILOI,EAST KHASI HILL,0,OK,BACKEND,,,0,0,0,
352,Jan-23,WILLIAM NAGAR,NONGALBIBRA,852,OK,ACT,860,860.8,860.8,305.98,-307.25,859.53
402,Jan-23,WEILOI,EAST KHASI HILL,1156,OK,ACT,,1168.4,1168.4,0,0,
403,Jan-23,WEILOI,EAST KHASI HILL,468.5,OK,ACT,473,472.75,472.75,0,0,
404,Jan-23,WEILOI,EAST KHASI HILL,452.6,OK,ACT,,458.8,458.8,0,0,
405,Jan-23,WEILOI,EAST KHASI HILL,1447.45,OK,ACT,1449,1448.1,1448.1,0,0,
406,Jan-23,WEILOI,EAST KHASI HILL,468.5,OK,ACT,473,472.75,472.75,0,0,
407,Jan-23,WEILOI,EAST KHASI HILL,0,OK,BACKEND,,,0,0,0,
408,Jan-23,WEILOI,EAST KHASI HILL,0,OK,BACKEND,,,0,0,0,
409,Jan-23,WEILOI,EAST KHASI HILL,0,OK,BACKEND,,,0,0,0,
410,Jan-23,WEILOI,EAST KHASI HILL,0,OK,BACKEND,,,0,0,0,
411,Jan-23,WEILOI,EAST KHASI HILL,0,OK,BACKEND,,,0,0,0,
412,Jan-23,WEILOI,EAST KHASI HILL,43.8,OK,ACT,,44.4,44.4,0,0,
413,Jan-23,WEILOI,EAST KHASI HILL,0,OK,BACKEND,,,0,0,0,
414,Jan-23,WEILOI,EAST KHASI HILL,0,OK,BACKEND,,,0,948.5,20539.05,
415,Jan-23,WEILOI,EAST KHASI HILL,0,OK,BACKEND,,,0,0,0,
416,Jan-23,WEILOI,EAST KHASI HILL,148.79,OK,ACT,1000,148.99,148.99,1653.26,-433.13,1369.12
417,Jan-23,WEILOI,EAST KHASI HILL,154.3,OK,ACT,155,155.45,155.45,0,0,
418,Jan-23,WEILOI,EAST KHASI HILL,99.79,OK,ACT,,100.19,100.19,92.12,7142.68,7334.99
419,Jan-23,WEILOI,EAST KHASI HILL,427.49,OK,ACT,2000,427.67,427.67,4854.54,0,
420,Jan-23,WEILOI,EAST KHASI HILL,96.9,OK,ACT,,97.35,97.35,0,0,
447,Jan-23,WILLIAM NAGAR,NONGALBIBRA,0,OK,BACKEND,,,0,-0.13,0,
449,Jan-23,WILLIAM NAGAR,NONGALBIBRA,0,OK,BACKEND,,,0,-581,7271.89,
450,Jan-23,WILLIAM NAGAR,NONGALBIBRA,0,OK,BACKEND,,,0,0,0,
467,Jan-23,WILLIAM NAGAR,NONGALBIBRA,541.5,OK,ACT,,546.85,546.85,0,0,
470,Jan-23,WILLIAM NAGAR,NONGALBIBRA,305.84,OK,ACT,782,308.29,308.29,1738.58,-1265.57,781.3
471,Jan-23,WILLIAM NAGAR,NONGALBIBRA,607.99,OK,ACT,,612.19,612.19,6349.36,14315.56,21277.11
472,Jan-23,WILLIAM NAGAR,NONGALBIBRA,0,OK,BACKEND,,,0,1312.12,-1248.28,
475,Jan-23,WILLIAM NAGAR,NONGALBIBRA,572.46,OK,ACT,,573.96,573.96,6794.47,36737.2,44105.63
479,Jan-23,WILLIAM NAGAR,NONGALBIBRA,4421,OK,ACT,1700,4461.5,4461.5,0,-1537,
480,Jan-23,WILLIAM NAGAR,NONGALBIBRA,0,OK,BACKEND,,,0,0,86617.03,
485,Jan-23,WILLIAM NAGAR,NONGALBIBRA,1412.67,OK,ACT,,1424.27,1424.27,8290.95,22601.98,32317.2
487,Jan-23,WILLIAM NAGAR,NONGALBIBRA,430.45,OK,ACT,,432.6,432.6,4987,13391.89,18811.49
488,Jan-23,WILLIAM NAGAR,NONGALBIBRA,1471.8,OK,ACT,,1484.65,1484.65,7317.48,11246.17,20048.3
491,Jan-23,WILLIAM NAGAR,NONGALBIBRA,305.28,OK,ACT,,307.78,307.78,1252.84,-1252.27,308.35
494,Jan-23,WILLIAM NAGAR,NONGALBIBRA,0,OK,BACKEND,,,0,0,0,
495,Jan-23,WILLIAM NAGAR,NONGALBIBRA,0,OK,BACKEND,,,0,0,0,
509,Jan-23,WILLIAM NAGAR,NONGALBIBRA,955.13,OK,ACT,1500,964.08,964.08,4021.93,5243.65,10229.66
510,Jan-23,WILLIAM NAGAR,NONGALBIBRA,0,OK,BACKEND,,,0,-7104.87,0,
547,Jan-23,WILLIAM NAGAR,NONGALBIBRA,231.2,OK,ACT,230,232.8,232.8,0,0,
554,Jan-23,WILLIAM NAGAR,NONGALBIBRA,537.18,OK,ACT,,538.18,538.18,13237.37,37682.81,51458.36
557,Jan-23,WILLIAM NAGAR,NONGALBIBRA,0,OK,BACKEND,,,0,13266.52,39263.7,
558,Jan-23,WILLIAM NAGAR,NONGALBIBRA,677.11,OK,ACT,,679.11,679.11,16583.76,46235.84,63498.71
563,Jan-23,WILLIAM NAGAR,NONGALBIBRA,1559.7,OK,ACT,,1571.9,1571.9,22683.88,18309.33,42565.11
565,Jan-23,WILLIAM NAGAR,NONGALBIBRA,411.47,OK,ACT,500,412.07,412.07,16618.36,20221.73,37252.16
568,Jan-23,WILLIAM NAGAR,NONGALBIBRA,460.8,OK,ACT,500,465.2,465.2,260.64,-507.05,218.79
632,Jan-23,WILLIAM NAGAR,NONGALBIBRA,190.2,OK,ACT,200,191.3,191.3,0,0,
633,Jan-23,WILLIAM NAGAR,NONGALBIBRA,216.76,OK,ACT,420,218.16,218.16,195.77,0,
635,Jan-23,WILLIAM NAGAR,NONGALBIBRA,181.71,OK,ACT,,182.66,182.66,384.26,0,
636,Jan-23,WILLIAM NAGAR,NONGALBIBRA,894.97,OK,ACT,2000,900.47,900.47,4233.83,267.94,5402.24
637,Jan-23,WILLIAM NAGAR,NONGALBIBRA,303.06,OK,ACT,,305.41,305.41,1045.64,0,
638,Jan-23,WILLIAM NAGAR,NONGALBIBRA,0,OK,BACKEND,,,0,9329.94,21291.72,
639,Jan-23,WILLIAM NAGAR,NONGALBIBRA,194.3,OK,ACT,200,195.45,195.45,0,0,
640,Jan-23,WILLIAM NAGAR,NONGALBIBRA,506.23,OK,ACT,,510.98,510.98,294.36,1392.13,2197.47
641,Jan-23,WILLIAM NAGAR,NONGALBIBRA,173.8,OK,ACT,,174.7,174.7,0,0,
643,Jan-23,WILLIAM NAGAR,NONGALBIBRA,382.9,OK,ACT,390,386.35,386.35,0,0,
648,Jan-23,WILLIAM NAGAR,NONGALBIBRA,798.79,OK,ACT,,806.59,806.59,3355.92,436.11,4598.62
650,Jan-23,WILLIAM NAGAR,NONGALBIBRA,0,OK,BACKEND,260,,0,0,0,
652,Jan-23,WILLIAM NAGAR,NONGALBIBRA,0,OK,BACKEND,,,0,0,0,
655,Jan-23,WILLIAM NAGAR,NONGALBIBRA,0,OK,BACKEND,,,0,0,0,
668,Jan-23,WILLIAM NAGAR,NONGALBIBRA,0,OK,BACKEND,,,0,-0.15,0,
669,Jan-23,WILLIAM NAGAR,NONGALBIBRA,0,OK,BACKEND,,,0,0,0,
670,Jan-23,WILLIAM NAGAR,NONGALBIBRA,751.84,OK,ACT,,752.69,752.69,60974.6,0,
672,Jan-23,WILLIAM NAGAR,NONGALBIBRA,0,OK,BACKEND,,,0,0,0,
681,Jan-23,WILLIAM NAGAR,NONGALBIBRA,147.4,OK,ACT,,148.1,148.1,0,0,
682,Jan-23,WILLIAM NAGAR,NONGALBIBRA,973.94,OK,ACT,500,982.09,982.09,563.91,0,
683,Jan-23,WILLIAM NAGAR,NONGALBIBRA,1042.1,OK,ACT,1050,1051.15,1051.15,-7.1,0,
684,Jan-23,WILLIAM NAGAR,NONGALBIBRA,681.3,OK,ACT,700,685.95,685.95,-0.02,0,
685,Jan-23,WILLIAM NAGAR,NONGALBIBRA,440.3,OK,ACT,300,602.15,444.45,-2.83,0,
686,Jan-23,WILLIAM NAGAR,NONGALBIBRA,735,OK,ACT,784,742.5,742.5,0,0,
687,Jan-23,WILLIAM NAGAR,NONGALBIBRA,2251.4,OK,ACT,,2269.1,2269.1,0,0,
692,Jan-23,WILLIAM NAGAR,NONGALBIBRA,131,OK,ACT,130,131.5,131.5,0,0,
695,Jan-23,WILLIAM NAGAR,NONGALBIBRA,241,OK,ACT,500,739.5,241.5,-8.45,0,
697,Jan-23,WILLIAM NAGAR,NONGALBIBRA,0,OK,BACKEND,,,0,54846.83,0,
700,Jan-23,WILLIAM NAGAR,NONGALBIBRA,0,OK,BACKEND,,,0,526.36,2351.98,
704,Jan-23,WILLIAM NAGAR,NONGALBIBRA,0,OK,BACKEND,,,0,118581.28,0,
706,Jan-23,WILLIAM NAGAR,NONGALBIBRA,0,OK,BACKEND,,,0,10366.49,1029.01,
707,Jan-23,WILLIAM NAGAR,NONGALBIBRA,0,OK,BACKEND,,,0,116389.11,0,
708,Jan-23,WILLIAM NAGAR,NONGALBIBRA,0,OK,BACKEND,,,0,0,0,
712,Jan-23,WILLIAM NAGAR,NONGALBIBRA,0,OK,BACKEND,,,0,-9.7,0,
741,Jan-23,WILLIAM NAGAR,NONGALBIBRA,169.7,OK,ACT,163,170.55,170.55,0,0,
753,Jan-23,WILLIAM NAGAR,NONGALBIBRA,1743.58,OK,ACT,350,1756.58,1756.58,117.04,31760.87,33634.49
759,Jan-23,WILLIAM NAGAR,NONGALBIBRA,1245.35,OK,ACT,350,1258.05,1258.05,395.15,0,
885,Jan-23,WILLIAM NAGAR,NONGALBIBRA,473.05,OK,ACT,,477.5,477.5,822.32,0,
889,Jan-23,WILLIAM NAGAR,NONGALBIBRA,0,OK,BACKEND,,,0,0,0,
893,Jan-23,WILLIAM NAGAR,NONGALBIBRA,1333.41,OK,ACT,1200,1346.01,1346.01,21.07,0,
